player_key,player_name,country,season_avg,season_rank,matches_in_window,avg_last10,stdev_last10,best_last10,worst_last10,avg_last5,avg_prev5,trend,wins_last10,win_rate_last10,last_match_date,mean_opp_avg,mean_perf_vs_opp,sos_n,checkout_pct,total_180s,first9_avg,profile_url
2052,Kevin Doets,NED,94.65,20,10,99.15,6.07,112.31,91.55,102.67,95.63,7.04,7,0.7,2026-05-12,94.12,5.03,10,40.07,537.0,104.56,https://dartsorakel.com/player/details/2052/kevin-doets
18,Jermaine Wattimena,NED,94.56,21,10,99.41,4.83,107.83,91.44,96.49,102.33,-5.84,6,0.6,2026-05-12,97.32,2.09,10,39.39,452.0,103.96,https://dartsorakel.com/player/details/18/jermaine-wattimena
12,Krzysztof Ratajski,POL,94.55,22,10,93.51,5.9,99.1,77.46,91.11,95.92,-4.81,6,0.6,2026-05-12,91.45,2.06,10,38.95,282.0,103.5,https://dartsorakel.com/player/details/12/krzysztof-ratajski
70,Luke Woodhouse,ENG,93.87,23,10,97.27,3.8,103.46,90.59,98.81,95.73,3.08,6,0.6,2026-05-12,96.51,0.75,10,39.31,398.0,101.95,https://dartsorakel.com/player/details/70/luke-woodhouse
55,Niels Zonneveld,NED,93.62,24,10,93.78,4.4,102.23,85.45,94.07,93.5,0.57,3,0.3,2026-05-12,91.82,1.96,10,39.51,419.0,102.49,https://dartsorakel.com/player/details/55/niels-zonneveld
82,Martin Schindler,GER,93.6,25,10,99.53,7.51,113.79,88.0,105.08,93.98,11.1,7,0.7,2026-05-12,96.52,3.01,10,38.05,336.0,102.1,https://dartsorakel.com/player/details/82/martin-schindler
63,Cristo Reyes,ESP,93.53,26,10,94.46,7.59,108.06,85.01,97.23,91.69,5.54,6,0.6,2026-05-12,91.3,3.16,10,40.21,218.0,102.81,https://dartsorakel.com/player/details/63/cristo-reyes
30,William O&#039;Connor,IRL,93.5,27,10,93.55,4.51,99.73,82.5,92.73,94.37,-1.64,6,0.6,2026-05-12,92.6,0.95,10,38.92,341.0,102.11,https://dartsorakel.com/player/details/30/william-oconnor
2088,Andrew Gilding,ENG,93.35,28,10,94.78,9.81,118.66,80.37,92.11,97.45,-5.33,6,0.6,2026-05-12,89.33,5.45,10,38.95,286.0,101.78,https://dartsorakel.com/player/details/2088/andrew-gilding
44,Karel Sedláček,CZE,93.1,29,10,93.73,2.31,97.46,90.27,92.34,95.13,-2.79,5,0.5,2026-05-08,91.2,2.54,10,38.37,273.0,101.27,https://dartsorakel.com/player/details/44/karel-sedlacek
